1/2	2	[2]	1
1/2	12	[3, 4]	2
1/2	168	[3, 7, 8]	3
1/2	240	[3, 5, 16]	3
1/2	6,720	[3, 7, 10, 32]	4
1/2	13,440	[3, 5, 28, 32]	4
1/2	14,880	[3, 5, 31, 32]	4
1/2	65,280	[3, 5, 17, 256]	4
1/2	549,120	[3, 10, 11, 13, 128]	5
1/2	591,360	[3, 7, 11, 32, 80]	5
1/2	591,360	[3, 7, 11, 40, 64]	5
1/2	833,280	[3, 7, 10, 62, 64]	5
1/2	954,240	[3, 7, 10, 64, 71]	5
1/2	1,145,760	[3, 7, 11, 32, 155]	5
1/2	1,317,120	[3, 5, 32, 49, 56]	5
1/2	1,666,560	[3, 5, 31, 56, 64]	5
1/2	1,908,480	[3, 5, 28, 64, 71]	5
1/2	2,143,680	[3, 7, 11, 29, 320]	5
1/2	2,204,160	[3, 7, 10, 41, 256]	5
1/2	3,655,680	[3, 7, 10, 34, 512]	5
1/2	3,886,080	[3, 5, 23, 64, 176]	5
1/2	4,408,320	[3, 5, 28, 41, 256]	5
1/2	6,990,720	[3, 5, 22, 64, 331]	5
1/2	8,094,720	[3, 5, 31, 34, 512]	5
1/2	17,149,440	[5, 6, 7, 11, 29, 256]	6
1/2	25,259,520	[3, 5, 23, 52, 1408]	5
1/2	39,443,712	[3, 7, 22, 23, 29, 128]	6
1/2	39,621,120	[3, 10, 11, 14, 67, 128]	6
1/2	58,490,880	[3, 5, 17, 448, 512]	5
1/2	61,501,440	[3, 7, 20, 22, 26, 256]	6
1/2	64,757,760	[3, 5, 17, 496, 512]	5
1/2	66,324,480	[3, 5, 17, 508, 512]	5
1/2	66,716,160	[3, 5, 17, 511, 512]	5
1/2	68,597,760	[3, 7, 20, 22, 29, 256]	6
1/2	81,070,080	[3, 10, 13, 14, 29, 512]	6
1/2	89,041,920	[3, 5, 17, 341, 1024]	5
1/2	99,939,840	[3, 7, 11, 52, 64, 130]	6
1/2	99,939,840	[3, 7, 11, 64, 65, 104]	6
1/2	101,122,560	[5, 6, 9, 11, 14, 19, 128]	7
1/2	118,272,000	[3, 7, 11, 50, 64, 160]	6
1/2	130,099,200	[3, 7, 10, 55, 64, 176]	6
1/2	133,425,600	[3, 7, 11, 38, 95, 160]	6
